-11.09316770186335, -1.1736610955227529
-10.037267080745352, -1.0815133850666458
-8.981366459627338, -0.9463255379751865
-6.062111801242239, -0.6421946523383428
-5.068322981366457, -0.5315963952877776
-4.012422360248451, -0.41792861651399527
-2.8944099378882058, -0.31041420243885653
-1.9627329192546625, -0.2090340580594181
-0.9689440993788807, -0.10458439195676039
0.024844720496886907, -0.0062833168020115515
1.9503105590061978, 0.21184367557589967
3.006211180124218, 0.3316600452975895
4.062111801242239, 0.4330306421755563
6.111801242236034, 0.6327023142082728
